SAMPID	SMTS
GTEX-16YQH-0126-SM-7DUFJ	Skin
GTEX-16YQH-0226-SM-6PALD	Adipose Tissue
GTEX-16YQH-0326-SM-6LPJV	Thyroid
GTEX-16YQH-0426-SM-7KUL7	Muscle
GTEX-16YQH-0526-SM-7KUE8	Nerve
GTEX-16YQH-0626-SM-7938I	Blood Vessel
GTEX-16YQH-0726-SM-7IGM1	Heart
GTEX-16YQH-0826-SM-7938J	Blood Vessel
GTEX-16YQH-0926-SM-793BC	Heart
GTEX-16YQH-1826-SM-6LPJW	Testis
GTEX-16YQH-1926-SM-6M47L	Esophagus
GTEX-16YQH-2226-SM-7IGM2	Skin
GTEX-16YQH-2326-SM-7EWDS	Prostate
GTEX-16YQH-2826-SM-6PAMY	Breast
GTEX-16YQH-2926-SM-6LPJE	Brain
GTEX-16YQH-3026-SM-79OMM	Brain
GTEX-16YQH-3126-SM-79OJZ	Pituitary
GTEX-16Z82-0004-SM-6UH1S	Blood
GTEX-16Z82-0011-R10a-SM-79OJX	Brain
GTEX-16Z82-0011-R11a-SM-79OKJ	Brain
GTEX-16Z82-0011-R1b-SM-7EPHZ	Brain
GTEX-16Z82-0011-R2b-SM-79OK9	Brain
GTEX-16Z82-0011-R5a-SM-7EPGB	Brain
GTEX-16Z82-0011-R6a-SM-7IGLV	Brain
GTEX-16Z82-0011-R7a-SM-7MKGJ	Brain
GTEX-16Z82-0011-R8a-SM-7DUEX	Brain
GTEX-16Z82-0011-R9a-SM-7DUFA	Brain
GTEX-16Z82-0126-SM-7DHLF	Muscle
GTEX-16Z82-0426-SM-7EPGX	Thyroid
GTEX-16Z82-1026-SM-6M48A	Lung
GTEX-16Z82-1926-SM-6M47U	Esophagus
GTEX-16Z82-2026-SM-6M48B	Esophagus
GTEX-16Z82-2226-SM-6LPJ7	Colon
GTEX-16Z82-2426-SM-7KUMS	Colon
GTEX-16Z82-2626-SM-7KULU	Skin
GTEX-16Z82-2726-SM-7KULV	Testis
GTEX-16Z82-2926-SM-6LPJJ	Brain
GTEX-16Z82-3026-SM-79ON3	Brain
GTEX-16Z82-3126-SM-7EWEC	Pituitary
GTEX-178AV-0004-SM-6RBJU	Blood
GTEX-178AV-0004-SM-6UH1M	Blood
GTEX-178AV-0226-SM-793B7	Pancreas
GTEX-178AV-0326-SM-6LPJF	Lung
GTEX-178AV-0426-SM-6LPJG	Prostate
GTEX-178AV-0526-SM-6LPJH	Esophagus
GTEX-178AV-0626-SM-6PAM1	Adipose Tissue
GTEX-178AV-0726-SM-6LPJI	Thyroid
GTEX-178AV-0826-SM-7KUET	Esophagus
GTEX-178AV-0926-SM-793BK	Esophagus
GTEX-178AV-1326-SM-6LPJX	Colon
GTEX-178AV-1426-SM-6LLID	Salivary Gland
GTEX-178AV-1726-SM-7KUL8	Skin
GTEX-178AV-1826-SM-7KUE2	Nerve
GTEX-178AV-1926-SM-7KUL9	Blood Vessel
GTEX-17EUY-0003-SM-6RBKF	Blood
GTEX-17EUY-0003-SM-6UH27	Blood
GTEX-17EUY-0226-SM-79OKV	Nerve
GTEX-17EUY-0326-SM-7DUEY	Blood Vessel
GTEX-17EUY-0426-SM-793BD	Skin
GTEX-17EUY-0526-SM-7EWDE	Adipose Tissue
GTEX-17EUY-0626-SM-793BE	Muscle
GTEX-17EUY-1326-SM-7DHKZ	Esophagus
GTEX-17EUY-1426-SM-7938X	Esophagus
GTEX-17EUY-1526-SM-793CA	Stomach
GTEX-17EUY-1726-SM-79OK4	Colon
GTEX-17EUY-1826-SM-7DUEZ	Colon
GTEX-17EUY-1926-SM-7DUF6	Breast
GTEX-17EUY-2026-SM-79OMV	Prostate
GTEX-17EVP-0004-SM-6RBJT	Blood
GTEX-17EVP-0004-SM-6UH1L	Blood
GTEX-17EVP-0011-R10a-SM-7IGLP	Brain
GTEX-17EVP-0011-R11a-SM-7EWDL	Brain
GTEX-17EVP-0011-R1a-SM-7DHLA	Brain
GTEX-17EVP-0011-R2a-SM-7LG4W	Brain
GTEX-17EVP-0011-R3a-SM-7EPI9	Brain
GTEX-17EVP-0011-R4a-SM-79OML	Brain
GTEX-17EVP-0011-R5b-SM-7DHKW	Brain
GTEX-17EVP-0011-R6b-SM-7LT99	Brain
GTEX-17EVP-0011-R7a-SM-7LTAN	Brain
GTEX-17EVP-0011-R8b-SM-7DUF9	Brain
GTEX-17EVP-0126-SM-7EPHW	Thyroid
GTEX-17EVP-0226-SM-79OND	Breast
GTEX-17EVP-0326-SM-7DHLG	Skin
GTEX-17EVP-0426-SM-79OKG	Adipose Tissue
GTEX-17EVP-0526-SM-7EPGY	Heart
GTEX-17EVP-0726-SM-7EWDX	Lung
GTEX-17EVP-0926-SM-7IGOY	Blood Vessel
GTEX-17EVP-1026-SM-7IGOZ	Liver
GTEX-17EVP-1126-SM-793C4	Nerve
GTEX-17EVP-1226-SM-793BF	Blood Vessel
GTEX-17EVP-1326-SM-7DHMR	Muscle
GTEX-17EVP-1426-SM-79OMN	Adipose Tissue
GTEX-17EVP-2626-SM-7IGMA	Skin
GTEX-17EVP-2926-SM-793BU	Brain
GTEX-17EVP-3026-SM-7IGQL	Brain
GTEX-17EVP-3126-SM-79OKW	Pituitary
GTEX-17EVQ-0001-SM-6RBK4	Blood
GTEX-17EVQ-0001-SM-6UH1V	Blood
GTEX-17EVQ-0011-R11a-SM-7LT9C	Brain
GTEX-17EVQ-0011-R1a-SM-7189S	Brain
GTEX-17EVQ-0011-R3b-SM-7LT9B	Brain
GTEX-17EVQ-0011-R4b-SM-7LT94	Brain
GTEX-17EVQ-0011-R5a-SM-7LT92	Brain
GTEX-17EVQ-0011-R6a-SM-7189U	Brain
GTEX-17EVQ-0011-R7a-SM-7EWDA	Brain
GTEX-17EVQ-0011-R8a-SM-7189T	Brain
GTEX-17EVQ-0011-R9b-SM-79OJY	Brain
GTEX-17EVQ-0126-SM-7IGLR	Skin
GTEX-17EVQ-0226-SM-7LG4P	Skin
GTEX-17EVQ-0426-SM-7LG57	Breast
GTEX-17EVQ-0526-SM-7KFSK	Thyroid
GTEX-17EVQ-0626-SM-7KFTB	Adipose Tissue
GTEX-17EVQ-1026-SM-7IGOG	Nerve
GTEX-17EVQ-1126-SM-7LG58	Blood Vessel
GTEX-17EVQ-1226-SM-7LG59	Muscle
GTEX-17EVQ-1526-SM-79ONG	Lung
GTEX-17EVQ-1626-SM-79ONH	Blood Vessel
GTEX-17EVQ-1726-SM-7LT9R	Esophagus
GTEX-17EVQ-1826-SM-7IGPH	Colon
GTEX-17EVQ-1926-SM-7IGOF	Esophagus
GTEX-17EVQ-2726-SM-7EWDT	Brain
GTEX-17EVQ-2826-SM-7IGQK	Brain
GTEX-17EVQ-2926-SM-7EWE3	Pituitary
GTEX-17F96-0002-SM-6RBJL	Blood
GTEX-17F96-0002-SM-6UH1K	Blood
GTEX-17F96-0126-SM-7EWDU	Skin
GTEX-17F96-0226-SM-7EPGV	Testis
GTEX-17F96-0326-SM-793BR	Nerve
GTEX-17F96-0526-SM-79OLE	Thyroid
GTEX-17F96-0626-SM-793CC	Lung
GTEX-17F96-0726-SM-793CB	Adipose Tissue
GTEX-17F96-0826-SM-7DHLU	Heart
GTEX-17F96-1126-SM-7EWDF	Blood Vessel
GTEX-17F96-1226-SM-79OK2	Liver
GTEX-17F96-1426-SM-7IGQA	Spleen
GTEX-17F96-1626-SM-7DUFL	Skin
GTEX-17F96-1726-SM-7IGMB	Adipose Tissue
GTEX-17F96-2026-SM-79ON4	Colon
GTEX-17F96-2126-SM-7KFSM	Colon
GTEX-17F96-2426-SM-7IGLN	Breast
GTEX-17F96-2526-SM-7DHL3	Esophagus
GTEX-17F96-2726-SM-7LT9F	Muscle
GTEX-17F96-2826-SM-7IGP3	Esophagus
GTEX-17F97-0002-SM-6RBLP	Blood
GTEX-17F97-0002-SM-6UH2Z	Blood
GTEX-17F97-0011-R10b-SM-793BB	Brain
GTEX-17F97-0011-R11b-SM-7KFRQ	Brain
GTEX-17F97-0011-R1b-SM-7IGM9	Brain
GTEX-17F97-0011-R3b-SM-7LT9E	Brain
GTEX-17F97-0011-R4b-SM-7KFS2	Brain
GTEX-17F97-0011-R5a-SM-7LG4Z	Brain
GTEX-17F97-0011-R6a-SM-7EPGS	Brain
GTEX-17F97-0011-R8a-SM-7DUET	Brain
GTEX-17F97-0126-SM-7LT8N	Nerve
GTEX-17F97-0226-SM-7LG6Q	Blood Vessel
GTEX-17F97-0326-SM-7LG5B	Skin
GTEX-17F97-0426-SM-7LT9U	Adipose Tissue
GTEX-17F97-0526-SM-7DUF8	Muscle
GTEX-17F97-0626-SM-7IGOH	Thyroid
GTEX-17F97-1226-SM-79OJT	Adipose Tissue
GTEX-17F97-1426-SM-7LG5C	Esophagus
GTEX-17F97-1626-SM-72D6W	Spleen
GTEX-17F97-1926-SM-7IGM4	Kidney
GTEX-17F97-2526-SM-7EWDV	Breast
GTEX-17F97-2626-SM-7IGM5	Skin
GTEX-17F97-2726-SM-7IGQ4	Testis
GTEX-17F97-2926-SM-7DUEQ	Brain
GTEX-17F97-3026-SM-79OKC	Brain
GTEX-17F98-0003-SM-6RBKG	Blood
GTEX-17F98-0003-SM-6UH28	Blood
GTEX-17F98-0226-SM-793BV	Lung
GTEX-17F98-0326-SM-7DHLH	Adipose Tissue
GTEX-17F98-0426-SM-79ONZ	Pancreas
GTEX-17F98-0526-SM-79OK5	Breast
GTEX-17F98-0626-SM-79OMX	Skin
GTEX-17F98-0726-SM-793BJ	Blood Vessel
GTEX-17F98-0826-SM-7DUF7	Nerve
GTEX-17F98-0926-SM-7DHLT	Blood Vessel
GTEX-17F98-1026-SM-7IGO8	Colon
GTEX-17F98-1126-SM-79OJS	Adipose Tissue
GTEX-17F98-1326-SM-7DUEP	Skin
GTEX-17F98-1526-SM-7EWD8	Stomach
GTEX-17F98-1626-SM-7938R	Muscle
GTEX-17F98-1726-SM-7938O	Esophagus
GTEX-17F98-1826-SM-7DUFK	Esophagus
GTEX-17F98-1926-SM-7DHLW	Esophagus
GTEX-17F9E-0003-SM-6RBKR	Blood
GTEX-17F9E-0003-SM-6UH2B	Blood
GTEX-17F9E-0226-SM-79OKK	Muscle
GTEX-17F9E-0426-SM-7IGP1	Nerve
GTEX-17F9E-0526-SM-7DUFD	Blood Vessel
GTEX-17F9E-0626-SM-79ON5	Thyroid
GTEX-17F9E-0726-SM-793A1	Heart
GTEX-17F9E-0926-SM-7IGMG	Heart
GTEX-17F9E-1026-SM-7DUF1	Esophagus
GTEX-17F9E-1126-SM-79OMO	Spleen
GTEX-17F9E-1226-SM-7EWDG	Blood Vessel
GTEX-17F9E-1326-SM-7DHL4	Adipose Tissue
GTEX-17F9E-1426-SM-793BG	Pancreas
GTEX-17F9E-1626-SM-7EWDB	Testis
GTEX-17F9E-1826-SM-7IGMC	Colon
GTEX-17F9E-1926-SM-7IGQF	Esophagus
GTEX-17F9E-2126-SM-7DUFG	Esophagus
GTEX-17F9E-2226-SM-7IGNC	Stomach
GTEX-17F9E-2326-SM-79OKD	Skin
GTEX-17F9Y-0004-SM-6RBJW	Blood
GTEX-17F9Y-0004-SM-6UH1O	Blood
GTEX-17F9Y-0126-SM-79OKX	Skin
GTEX-17F9Y-0326-SM-7IGLS	Adipose Tissue
GTEX-17F9Y-0526-SM-7EWDC	Thyroid
GTEX-17F9Y-0726-SM-7LT9G	Adipose Tissue
GTEX-17F9Y-0826-SM-7LG52	Blood Vessel
GTEX-17F9Y-0926-SM-79OJU	Nerve
GTEX-17F9Y-1026-SM-7IGO4	Lung
GTEX-17F9Y-1226-SM-7EPGE	Heart
GTEX-17F9Y-1426-SM-7IGOO	Blood Vessel
GTEX-17F9Y-1826-SM-7IGMI	Esophagus
GTEX-17F9Y-2326-SM-7DUFP	Vagina
GTEX-17F9Y-2626-SM-7IGN9	Colon
GTEX-17GQL-0003-SM-6RBKD	Blood
GTEX-17GQL-0003-SM-6UH25	Blood
GTEX-17GQL-0005-SM-7MKF4	Blood
GTEX-17GQL-0126-SM-72D5Q	Spleen
GTEX-17GQL-0326-SM-7LG5U	Breast
GTEX-17GQL-0426-SM-7LG5V	Blood Vessel
GTEX-17GQL-0526-SM-72D5N	Heart
GTEX-17GQL-0626-SM-731CN	Heart
GTEX-17GQL-0726-SM-731BL	Lung
GTEX-17GQL-0826-SM-731AM	Adipose Tissue
GTEX-17GQL-0926-SM-731E7	Skin
GTEX-17GQL-1126-SM-7KFSN	Esophagus
GTEX-17GQL-1226-SM-7KFTS	Stomach
GTEX-17GQL-1526-SM-7LTAC	Colon
GTEX-17GQL-1626-SM-7LG69	Colon
GTEX-17GQL-1726-SM-718B8	Testis
GTEX-17GQL-1926-SM-718B9	Muscle
GTEX-17GQL-2026-SM-718BA	Skin
GTEX-17GQL-2226-SM-718BB	Blood Vessel
GTEX-17GQL-2326-SM-731EJ	Blood Vessel
GTEX-17HG3-0002-SM-6RBKU	Blood
GTEX-17HG3-0006-SM-7MKFE	Blood
GTEX-17HG3-0011-R10b-SM-7LT97	Brain
GTEX-17HG3-0011-R11b-SM-7KFT4	Brain
GTEX-17HG3-0011-R1a-SM-7LG6H	Brain
GTEX-17HG3-0011-R4a-SM-7IGLL	Brain
GTEX-17HG3-0011-R5a-SM-7DUEW	Brain
GTEX-17HG3-0011-R6b-SM-79OK8	Brain
GTEX-17HG3-0011-R7b-SM-7EPGR	Brain
GTEX-17HG3-0011-R8a-SM-79OK7	Brain
GTEX-17HG3-0126-SM-7IGNH	Breast
GTEX-17HG3-0226-SM-7EWEA	Thyroid
GTEX-17HG3-0326-SM-7IGP4	Lung
GTEX-17HG3-1126-SM-7DUFC	Colon
GTEX-17HG3-2226-SM-7938L	Skin
GTEX-17HG3-2326-SM-79OKH	Adipose Tissue
GTEX-17HG3-2526-SM-7IGOD	Nerve
GTEX-17HG3-2626-SM-7DUF2	Skin
GTEX-17HG3-2726-SM-7DHL5	Muscle
GTEX-17HG3-2826-SM-7EPGO	Brain
GTEX-17HG3-2926-SM-79ON8	Brain
GTEX-17HG3-3026-SM-79ONC	Pituitary
GTEX-17HGU-0001-SM-6RBK5	Blood
GTEX-17HGU-0001-SM-6UH1W	Blood
GTEX-17HGU-0126-SM-7DHLV	Adrenal Gland
GTEX-17HGU-0226-SM-7DHKV	Skin
GTEX-17HGU-0326-SM-7DUER	Adipose Tissue
GTEX-17HGU-0426-SM-7DUES	Nerve
GTEX-17HGU-0526-SM-793BX	Blood Vessel
GTEX-17HGU-0626-SM-7939Y	Muscle
GTEX-17HGU-0726-SM-7DUFN	Testis
GTEX-17HGU-0826-SM-7EWE5	Thyroid
GTEX-17HGU-0926-SM-79OKO	Lung
GTEX-17HGU-1026-SM-79OKL	Heart
GTEX-17HGU-1126-SM-793BP	Heart
GTEX-17HGU-1326-SM-79OKB	Breast
GTEX-17HGU-1426-SM-7938G	Esophagus
GTEX-17HGU-1526-SM-7EWE4	Esophagus
GTEX-17HGU-1726-SM-79OKM	Adipose Tissue
GTEX-17HGU-1826-SM-7IGQM	Liver
GTEX-17HGU-2026-SM-79OKS	Pancreas
GTEX-17HGU-2126-SM-7IGOV	Stomach
GTEX-17HGU-2326-SM-7DUFE	Skin
GTEX-17HGU-2426-SM-7EWDP	Colon
GTEX-17HGU-2626-SM-79OKN	Colon
GTEX-17HHE-0002-SM-6RBJV	Blood
GTEX-17HHE-0002-SM-6UH1N	Blood
GTEX-17HHE-0126-SM-79398	Liver
GTEX-17HHE-0226-SM-79399	Adrenal Gland
GTEX-17HHE-0326-SM-793BH	Spleen
GTEX-17HHE-0426-SM-79OK3	Thyroid
GTEX-17HHE-0526-SM-7DUGR	Pancreas
GTEX-17HHE-0626-SM-7DHL6	Lung
GTEX-17HHE-0726-SM-7DHL7	Esophagus
GTEX-17HHE-0826-SM-793A2	Esophagus
GTEX-17HHE-0926-SM-7938K	Esophagus
GTEX-17HHE-1026-SM-79ON6	Stomach
GTEX-17HHE-1126-SM-793BS	Prostate
GTEX-17HHE-1226-SM-793C6	Testis
GTEX-17HHE-1326-SM-7EWDZ	Skin
GTEX-17HHE-1426-SM-7EPH4	Breast
GTEX-17HHE-1526-SM-793AS	Adipose Tissue
GTEX-17HHE-1626-SM-7DHLN	Colon
GTEX-17HHE-1726-SM-79OKT	Small Intestine
GTEX-17HHE-1826-SM-79OKE	Colon
GTEX-17HHE-1926-SM-7EPGW	Adipose Tissue
GTEX-17HHE-2026-SM-79OKF	Skin
GTEX-17HHE-2126-SM-7DHLO	Muscle
GTEX-17HHE-2226-SM-7EPGN	Nerve
GTEX-17HHE-2326-SM-793C5	Blood Vessel
GTEX-17HHY-0002-SM-6RBK6	Blood
GTEX-17HHY-0002-SM-6UH1X	Blood
GTEX-17HHY-0011-R1a-SM-7189V	Brain
GTEX-17HHY-0011-R3a-SM-7EWDK	Brain
GTEX-17HHY-0011-R5b-SM-79OMZ	Brain
GTEX-17HHY-0011-R6b-SM-7189Z	Brain
GTEX-17HHY-0011-R7a-SM-718A1	Brain
GTEX-17HHY-0126-SM-7LG5D	Skin
GTEX-17HHY-0226-SM-793BQ	Adipose Tissue
GTEX-17HHY-0326-SM-7938H	Muscle
GTEX-17HHY-0426-SM-7DHLC	Skin
GTEX-17HHY-0526-SM-793BZ	Blood Vessel
GTEX-17HHY-0626-SM-7EPGF	Nerve
GTEX-17HHY-0726-SM-7IGM6	Testis
GTEX-17HHY-0826-SM-7EPID	Thyroid
GTEX-17HHY-0926-SM-793C1	Breast
GTEX-17HHY-1026-SM-7LG5E	Adipose Tissue
GTEX-17HHY-1426-SM-7EWDQ	Heart
GTEX-17HHY-1726-SM-7EWD7	Esophagus
GTEX-17HHY-2226-SM-7KFS4	Adrenal Gland
GTEX-17HHY-2326-SM-7KFSR	Kidney
GTEX-17HHY-2526-SM-7IGME	Prostate
GTEX-17HHY-2926-SM-79OJW	Brain
GTEX-17HHY-3026-SM-79OKP	Brain
GTEX-17HHY-3126-SM-7KFSG	Pituitary
GTEX-17HII-0004-SM-6RBK8	Blood
GTEX-17HII-0004-SM-6UH1Z	Blood
GTEX-17HII-0005-SM-7MKF6	Blood
GTEX-17HII-0011-R10a-SM-79OMY	Brain
GTEX-17HII-0011-R11b-SM-7KFSX	Brain
GTEX-17HII-0011-R3a-SM-7LT9D	Brain
GTEX-17HII-0011-R5a-SM-7LG51	Brain
GTEX-17HII-0011-R7a-SM-79OMS	Brain
GTEX-17HII-0011-R8a-SM-79OK6	Brain
GTEX-17HII-0126-SM-7KFSS	Testis
GTEX-17HII-0226-SM-7LG4E	Skin
GTEX-17HII-0326-SM-7LG4X	Adipose Tissue
GTEX-17HII-0426-SM-793A3	Muscle
GTEX-17HII-0526-SM-7DHLP	Nerve
GTEX-17HII-0626-SM-7LT9H	Blood Vessel
GTEX-17HII-0826-SM-7DUFH	Adipose Tissue
GTEX-17HII-0926-SM-79ON7	Lung
GTEX-17HII-1026-SM-7IGLY	Liver
GTEX-17HII-1126-SM-7IGOP	Blood Vessel
GTEX-17HII-1326-SM-7IGOB	Heart
GTEX-17HII-1426-SM-7EPGG	Skin
GTEX-17HII-1826-SM-7DUFQ	Blood Vessel
GTEX-17HII-1926-SM-79OLB	Thyroid
GTEX-17HII-2426-SM-7KFTT	Stomach
GTEX-17HII-2526-SM-7LT8C	Prostate
GTEX-17HII-2926-SM-79OMK	Brain
GTEX-17HII-3026-SM-7EWFM	Brain
GTEX-17HII-3126-SM-7KFRX	Pituitary
GTEX-17JCI-0004-SM-6RBKB	Blood
GTEX-17JCI-0004-SM-6UH23	Blood
GTEX-17JCI-0011-R10b-SM-718A2	Brain
GTEX-17JCI-0011-R11a-SM-7189Y	Brain
GTEX-17JCI-0011-R1b-SM-718A3	Brain
GTEX-17JCI-0011-R6a-SM-72D6D	Brain
GTEX-17JCI-0126-SM-7LG5G	Skin
GTEX-17JCI-0326-SM-7LG5H	Muscle
GTEX-17JCI-0426-SM-7LG4R	Nerve
GTEX-17JCI-0626-SM-7IGM7	Thyroid
GTEX-17JCI-0726-SM-7EPH1	Breast
GTEX-17JCI-0826-SM-7LT8W	Heart
GTEX-17JCI-1126-SM-7IGMM	Heart
GTEX-17JCI-1226-SM-793D9	Esophagus
GTEX-17JCI-1526-SM-7IGOQ	Lung
GTEX-17JCI-1626-SM-7EPGZ	Adipose Tissue
GTEX-17JCI-2226-SM-7LTA1	Stomach
GTEX-17JCI-2326-SM-7IGPC	Ovary
GTEX-17JCI-2526-SM-7DHLB	Vagina
GTEX-17JCI-2626-SM-7EWE6	Colon
GTEX-17JCI-2826-SM-7IGNA	Colon
GTEX-17JCI-2926-SM-7DUFF	Skin
GTEX-17JCI-3026-SM-7EWDR	Brain
GTEX-17JCI-3126-SM-7LTA2	Brain
GTEX-17KNJ-0003-SM-6RBJX	Blood
GTEX-17KNJ-0003-SM-6UH1P	Blood
GTEX-17KNJ-0326-SM-7KFS5	Adrenal Gland
GTEX-17KNJ-0426-SM-718AK	Adipose Tissue
GTEX-17KNJ-0526-SM-7LTA8	Blood Vessel
GTEX-17KNJ-0626-SM-7LT9L	Heart
GTEX-17KNJ-0826-SM-793A4	Heart
GTEX-17KNJ-0926-SM-7IGP2	Lung
GTEX-17KNJ-1026-SM-79ONK	Thyroid
GTEX-17KNJ-1126-SM-7KFT6	Testis
GTEX-17KNJ-1226-SM-7LT9M	Esophagus
GTEX-17KNJ-1326-SM-7KFTG	Esophagus
GTEX-17KNJ-1526-SM-7LTA9	Stomach
GTEX-17KNJ-1626-SM-718AL	Small Intestine
GTEX-17KNJ-1726-SM-7LG6A	Colon
GTEX-17KNJ-1826-SM-7LT9N	Colon
GTEX-17KNJ-1926-SM-7KFRV	Pancreas
GTEX-17KNJ-2026-SM-7LG53	Breast
GTEX-17KNJ-2126-SM-718AM	Skin
GTEX-17KNJ-2226-SM-731CG	Adipose Tissue
GTEX-17KNJ-2226-SM-7LG6W	Adipose Tissue
GTEX-17KNJ-2326-SM-7DHLQ	Skin
GTEX-17KNJ-2426-SM-7DHLR	Muscle
GTEX-17KNJ-2526-SM-7DUFR	Blood Vessel
GTEX-17KNJ-2726-SM-7KFRE	Salivary Gland
GTEX-17MF6-0002-SM-6RBK9	Blood
GTEX-17MF6-0002-SM-6UH21	Blood
GTEX-17MF6-0011-R1a-SM-72D6O	Brain
GTEX-17MF6-0011-R5a-SM-731BA	Brain
GTEX-17MF6-0011-R6b-SM-7LG6G	Brain
GTEX-17MF6-0011-R7b-SM-7LG6J	Brain
GTEX-17MF6-0126-SM-7LG4F	Skin
GTEX-17MF6-0226-SM-7LG4G	Adipose Tissue
GTEX-17MF6-0326-SM-7EPH5	Breast
GTEX-17MF6-0426-SM-79ONB	Nerve
GTEX-17MF6-0526-SM-7LG4H	Blood Vessel
GTEX-17MF6-0626-SM-7LT8D	Thyroid
GTEX-17MF6-0726-SM-7LT8E	Heart
GTEX-17MF6-0826-SM-7LT8F	Lung
GTEX-17MF6-0926-SM-7LTAL	Heart
GTEX-17MF6-1026-SM-7EWE1	Blood Vessel
GTEX-17MF6-1126-SM-7DUFS	Liver
GTEX-17MF6-1326-SM-79ONE	Adipose Tissue
GTEX-17MF6-1426-SM-7IGOX	Pancreas
GTEX-17MF6-1726-SM-7LTA3	Esophagus
GTEX-17MF6-2026-SM-7LG5I	Muscle
GTEX-17MF6-2126-SM-7KFS7	Stomach
GTEX-17MF6-2426-SM-7LTAM	Colon
GTEX-17MF6-2626-SM-79OKQ	Skin
GTEX-17MF6-2726-SM-7IGMZ	Testis
GTEX-17MF6-2926-SM-7LTAW	Brain
GTEX-17MFQ-0003-SM-6RBKC	Blood
GTEX-17MFQ-0003-SM-6UH24	Blood
GTEX-17MFQ-0526-SM-7KFTX	Esophagus
GTEX-17MFQ-0626-SM-793A7	Esophagus
GTEX-17MFQ-0826-SM-793C8	Testis
GTEX-17MFQ-0926-SM-7LG4S	Breast
GTEX-17MFQ-1026-SM-7KFSZ	Small Intestine
GTEX-17MFQ-1126-SM-7LT9O	Adipose Tissue
GTEX-17MFQ-1226-SM-7KFSA	Colon
GTEX-17MFQ-1326-SM-718BX	Prostate
GTEX-17MFQ-1326-SM-7KFRL	Prostate
GTEX-17MFQ-1526-SM-7KFRR	Skin
GTEX-17MFQ-1626-SM-7938Z	Salivary Gland
GTEX-17MFQ-1726-SM-793C7	Skin
GTEX-17MFQ-1826-SM-7DHLS	Adipose Tissue
GTEX-17MFQ-1926-SM-793A6	Muscle
GTEX-17MFQ-2126-SM-7LG5W	Blood Vessel
GTEX-183FY-0003-SM-6RBJZ	Blood
GTEX-183FY-0003-SM-6UH1R	Blood
GTEX-183FY-0126-SM-7LT9P	Skin
GTEX-183FY-0226-SM-7LG54	Muscle
GTEX-183FY-0326-SM-793BY	Adipose Tissue
GTEX-183FY-0426-SM-7MKGK	Nerve
GTEX-183FY-0526-SM-7939Z	Blood Vessel
GTEX-183FY-0626-SM-79OKR	Thyroid
GTEX-183FY-0726-SM-793C3	Lung
GTEX-183FY-1026-SM-7939A	Skin
GTEX-183FY-1126-SM-7DHLJ	Breast
GTEX-183FY-1226-SM-7DHLK	Adipose Tissue
GTEX-183FY-1326-SM-7DHLL	Esophagus
GTEX-183FY-1426-SM-7DHLM	Colon
GTEX-183FY-1526-SM-7IGOW	Esophagus
GTEX-183FY-1626-SM-793D8	Small Intestine
GTEX-183FY-1726-SM-7LT9Q	Esophagus
GTEX-183FY-1926-SM-7KFRI	Testis
GTEX-183WM-0004-SM-6RBK2	Blood
GTEX-183WM-0004-SM-6UH1T	Blood
GTEX-183WM-0011-R11a-SM-718A5	Brain
GTEX-183WM-0011-R1a-SM-718A8	Brain
GTEX-183WM-0011-R4a-SM-7LG6S	Brain
GTEX-183WM-0011-R5a-SM-718A4	Brain
GTEX-183WM-0011-R6b-SM-72D66	Brain
GTEX-183WM-0011-R7b-SM-731AX	Brain
GTEX-183WM-0011-R8a-SM-7189W	Brain
GTEX-183WM-0126-SM-7LTAB	Skin
GTEX-183WM-0226-SM-7LT8T	Adipose Tissue
GTEX-183WM-0326-SM-72D5V	Skin
GTEX-183WM-0426-SM-731B1	Muscle
GTEX-183WM-0526-SM-731BD	Nerve
GTEX-183WM-0726-SM-7LTAA	Breast
GTEX-183WM-0926-SM-718AN	Heart
GTEX-183WM-1726-SM-7KFT5	Esophagus
GTEX-183WM-1926-SM-72D5F	Ovary
GTEX-183WM-2126-SM-7LG4I	Vagina
GTEX-183WM-2526-SM-731BP	Colon
GTEX-183WM-2626-SM-7KFRY	Thyroid
GTEX-183WM-2726-SM-7KFRF	Brain
GTEX-183WM-2826-SM-731C2	Brain
GTEX-18464-0011-R10a-SM-72D6X	Brain
GTEX-18464-0011-R11a-SM-72D76	Brain
GTEX-18464-0011-R2a-SM-731AL	Brain
GTEX-18464-0011-R4a-SM-7LG6T	Brain
GTEX-18464-0011-R5b-SM-718A6	Brain
GTEX-18464-0011-R6a-SM-731CA	Brain
GTEX-18464-0011-R7b-SM-731CM	Brain
GTEX-18464-0011-R8a-SM-72D4Z	Brain
GTEX-18464-0011-R9a-SM-731BK	Brain
GTEX-18465-0011-R11a-SM-72D78	Brain
GTEX-18465-0011-R5a-SM-72D5J	Brain
GTEX-18465-0011-R6a-SM-7LG6M	Brain
GTEX-18465-0011-R7b-SM-7LG6V	Brain
GTEX-18465-0011-R8b-SM-7LG6O	Brain
GTEX-18465-0126-SM-731BN	Skin
GTEX-18465-0226-SM-7LG5M	Adipose Tissue
GTEX-18465-0326-SM-7LTAD	Muscle
GTEX-18465-0426-SM-7LTAE	Blood Vessel
GTEX-18465-0526-SM-7LG4K	Nerve
GTEX-18465-0626-SM-7LT8X	Lung
GTEX-18465-0726-SM-7LG4L	Heart
GTEX-18465-0926-SM-731AY	Heart
